route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1,VARDAG,1_0_0,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_1,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_2,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_3,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_4,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_5,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_6,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_7,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_8,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_9,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_10,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_11,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_12,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_13,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_14,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_15,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_16,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_17,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_18,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_0_19,Mariehamn–Hammarland–Eckerö,0,shp_1_0
1,VARDAG,1_1_0,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_1,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_2,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_3,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_4,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_5,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_6,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_7,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_8,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_9,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_10,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_11,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_12,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_13,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_14,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_15,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_16,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_17,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_18,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
1,VARDAG,1_1_19,Mariehamn–Hammarland–Eckerö (retur),1,shp_1_1
2,VARDAG,2_0_0,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_1,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_2,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_3,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_4,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_5,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_6,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_7,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_8,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_9,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_10,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_11,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_12,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_0_13,Mariehamn–Godby–Geta,0,shp_2_0
2,VARDAG,2_1_0,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_1,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_2,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_3,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_4,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_5,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_6,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_7,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_8,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_9,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_10,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_11,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_12,Mariehamn–Godby–Geta (retur),1,shp_2_1
2,VARDAG,2_1_13,Mariehamn–Godby–Geta (retur),1,shp_2_1
3,VARDAG,3_0_0,Mariehamn–Godby–Saltvik,0,shp_3_0
3,VARDAG,3_0_1,Mariehamn–Godby–Saltvik,0,shp_3_0
3,VARDAG,3_0_2,Mariehamn–Godby–Saltvik,0,shp_3_0
3,VARDAG,3_0_3,Mariehamn–Godby–Saltvik,0,shp_3_0
3,VARDAG,3_0_4,Mariehamn–Godby–Saltvik,0,shp_3_0
3,VARDAG,3_0_5,Mariehamn–Godby–Saltvik,0,shp_3_0
3,VARDAG,3_0_6,Mariehamn–Godby–Saltvik,0,shp_3_0
3,VARDAG,3_1_0,Mariehamn–Godby–Saltvik (retur),1,shp_3_1
3,VARDAG,3_1_1,Mariehamn–Godby–Saltvik (retur),1,shp_3_1
3,VARDAG,3_1_2,Mariehamn–Godby–Saltvik (retur),1,shp_3_1
3,VARDAG,3_1_3,Mariehamn–Godby–Saltvik (retur),1,shp_3_1
3,VARDAG,3_1_4,Mariehamn–Godby–Saltvik (retur),1,shp_3_1
3,VARDAG,3_1_5,Mariehamn–Godby–Saltvik (retur),1,shp_3_1
3,VARDAG,3_1_6,Mariehamn–Godby–Saltvik (retur),1,shp_3_1
4,VARDAG,4_0_0,Mariehamn–Godby–Sund–Vårdö,0,shp_4_0
4,VARDAG,4_0_1,Mariehamn–Godby–Sund–Vårdö,0,shp_4_0
4,VARDAG,4_0_2,Mariehamn–Godby–Sund–Vårdö,0,shp_4_0
4,VARDAG,4_0_3,Mariehamn–Godby–Sund–Vårdö,0,shp_4_0
4,VARDAG,4_0_4,Mariehamn–Godby–Sund–Vårdö,0,shp_4_0
4,VARDAG,4_0_5,Mariehamn–Godby–Sund–Vårdö,0,shp_4_0
4,VARDAG,4_0_6,Mariehamn–Godby–Sund–Vårdö,0,shp_4_0
4,VARDAG,4_0_7,Mariehamn–Godby–Sund–Vårdö,0,shp_4_0
4,VARDAG,4_0_8,Mariehamn–Godby–Sund–Vårdö,0,shp_4_0
4,VARDAG,4_0_9,Mariehamn–Godby–Sund–Vårdö,0,shp_4_0
4,VARDAG,4_1_0,Mariehamn–Godby–Sund–Vårdö (retur),1,shp_4_1
4,VARDAG,4_1_1,Mariehamn–Godby–Sund–Vårdö (retur),1,shp_4_1
4,VARDAG,4_1_2,Mariehamn–Godby–Sund–Vårdö (retur),1,shp_4_1
4,VARDAG,4_1_3,Mariehamn–Godby–Sund–Vårdö (retur),1,shp_4_1
4,VARDAG,4_1_4,Mariehamn–Godby–Sund–Vårdö (retur),1,shp_4_1
4,VARDAG,4_1_5,Mariehamn–Godby–Sund–Vårdö (retur),1,shp_4_1
4,VARDAG,4_1_6,Mariehamn–Godby–Sund–Vårdö (retur),1,shp_4_1
4,VARDAG,4_1_7,Mariehamn–Godby–Sund–Vårdö (retur),1,shp_4_1
4,VARDAG,4_1_8,Mariehamn–Godby–Sund–Vårdö (retur),1,shp_4_1
4,VARDAG,4_1_9,Mariehamn–Godby–Sund–Vårdö (retur),1,shp_4_1
5,VARDAG,5_0_0,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_1,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_2,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_3,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_4,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_5,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_6,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_7,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_8,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_9,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_10,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_11,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_12,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_13,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_14,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_15,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_16,Mariehamn–Lemland–Lumparland,0,shp_5_0
5,VARDAG,5_0_17,Mariehamn–Lemland–Lumparland,0,shp_5_0
